COLLECTION_ID,FROG_ID,GOSNER_STAGE,SVL,TAIL_LENGTH,FROG_COMMENTS,ABNORMAL,BLEEDING_INJ,SKEL_AB,EYE_AB,SURF_AB,Perkensus,SITE,DATE,YEAR
KNA215-RASY-073112,50,46,20,0,Digits 1-3 shortened on left hind limb,1,0,1,0,0,0,KNA215,7/31/2012,2012
KNA1042-RASY-080212,55,43,13,14,"digits curled on right hind limb; tips missing, no open wound",1,0,1,0,0,0,DNR1042,8/2/2012,2012
KNA1090-RASY-080612,34,46,22,0,Digits shortened and curling at abnormal angles (all five) on left hind foot,1,0,1,0,0,0,KEN1090,8/6/2012,2012
KNA1051-RASY-080712,8,45,18,1,"Each foot has 3 digits, each are shortened and curled.",1,0,1,0,0,0,KPB1051,8/7/2012,2012
KNA02-RASY-072812,6,43,19,27,"entire limb <10mm on right, >20mm on left",1,0,1,0,0,0,KNA02,7/28/2012,2012
KNA1069-RASY-080612,17,46,16,0,"Entire right leg is less than 5mm, 4 digits differentiated, stunted calf very shortened and ankle joint into foot does not appear fully formed.",1,0,1,0,0,0,DNR1069,8/6/2012,2012
KNA1024-RASY-080812,51,44,20,6,Extra first digit on right hind limb.,1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA1031-RASY-072912,49,42,18,27,"femur on left is comparable in size to right, calf and foot are smaller",1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA12-RASY-073112,29,44,18,24,"hollow eye, left",1,0,0,1,0,0,KNA12,7/31/2012,2012
KNA99-RASY-080812,52,43,21,29,"hollow eye, left",1,0,0,1,0,0,KNA99,8/8/2012,2012
KNA1006-RASY-071912,17,44,18,13,"hollow eye, left",1,0,0,1,0,0,KPB1006,7/19/2012,2012
KNA1024-RASY-080812,23,43,22,39,"Hollow eye, left",1,0,0,1,0,0,KNA1024,8/8/2012,2012
KNA1040-RASY-072912,52,46,20,0,"hollow eye, left",1,0,0,1,0,0,KPB1040,7/29/2012,2012
KNA1051-RASY-080712,45,46,17,0,"hollow eye, left",1,0,0,1,0,0,KPB1051,8/7/2012,2012
KNA1051-RASY-080712,64,44,17,22,"hollow eye, left",1,0,0,1,0,0,KPB1051,8/7/2012,2012
KNA1061-RASY-081312,22,46,21,0,"hollow eye, left",1,0,0,1,0,0,KPB1061,8/13/2012,2012
KNA213-RASY-090412,1,43,18,30,"hollow eye, left and right",1,0,0,1,0,0,KNA213,9/4/2012,2012
KNA213-RASY-090412,9,42,19,32,"hollow eye, left and right",1,0,0,1,0,0,KNA213,9/4/2012,2012
KNA1021-RASY-080712,23,46,18,0,"hollow eye, left and right",1,0,0,1,0,0,KNA1021,8/7/2012,2012
KNA01-RASY-080112,44,42,19,34,"hollow eye, left; 2mm below right ankle joint present, all digits missing",1,0,1,1,0,0,KNA01,8/1/2012,2012
KNA08-RASY-080112,53,46,20,0,"hollow eye, left; digits 1-3 missing on left hind limb, open wound; Shipped for Disease Diagnosis (genetic analysis)",1,1,1,1,0,0,KNA08,8/1/2012,2012
KNA01-RASY-080112,49,42,22,33,"hollow eye, right",1,0,0,1,0,0,KNA01,8/1/2012,2012
KNA08-RASY-080112,30,45,19,4,"hollow eye, right",1,0,0,1,0,0,KNA08,8/1/2012,2012
KNA213-RASY-090412,14,43,20,35,"hollow eye, right",1,0,0,1,0,0,KNA213,9/4/2012,2012
KNA1024-RASY-080812,18,45,20,12,"Hollow eye, right",1,0,0,1,0,0,KNA1024,8/8/2012,2012
KNA1040-RASY-072912,51,46,20,0,"hollow eye, right",1,0,0,1,0,0,KPB1040,7/29/2012,2012
KNA1042-RASY-080212,2,46,20,0,"hollow eye, right",1,0,0,1,0,0,DNR1042,8/2/2012,2012
KNA1042-RASY-080212,46,46,19,0,"hollow eye, right",1,0,0,1,0,0,DNR1042,8/2/2012,2012
KNA1042-RASY-080212,54,42,20,34,"hollow eye, right",1,0,0,1,0,0,DNR1042,8/2/2012,2012
KNA1057-RASY-081012,16,45,19,1,"hollow eye, right",1,0,0,1,0,0,KPB1057,8/10/2012,2012
KNA1062-RASY-081012,22,46,16,0,"hollow eye, right",1,0,0,1,0,0,KNA1062,8/10/2012,2012
KNA1081-RASY-073012,58,44,19,19,"hollow eye, right",1,0,0,1,0,0,KNA1081,7/30/2012,2012
KNA1119-RASY-080912,4,45,20,6,"hollow eye, right",1,0,0,1,0,0,KNA111-9,8/9/2012,2012
KNA11119-RASY-081612,45,46,19,0,"hollow eye, right",1,0,0,1,0,0,KNA111-19,8/16/2012,2012
KNA17-RASY-080312,16,45,19,4,"injury at right knee joint, skin pulled back; distal leg not properly articulated, digits 4 and 5 also not articulated properly",1,1,1,0,0,0,KNA17,8/3/2012,2012
KNA90-RASY-072312,58,44,16,19,"left eye is missing, no open wound",1,0,0,1,0,0,KNA90,7/23/2012,2012
KNA1119-RASY-080912,15,45,19,1,left foot and ankle joint missing- 5mm of calf present,1,0,1,0,0,0,KNA111-9,8/9/2012,2012
KNA14-RASY-073112,38,46,22,0,"left foot missing at ankle joint, open wound",1,1,1,0,0,0,KNA14,7/31/2012,2012
KNA12-RASY-073112,9,45,20,3,left foot missing just below ankle joint,1,0,1,0,0,0,KNA12,7/31/2012,2012
KNA14-RASY-073112,50,43,20,24,"left forelimb missing at elbow, open wound",1,1,1,0,0,0,KNA14,7/31/2012,2012
KNA215-RASY-073112,25,45,19,5,"left hind foot appears broken-toes not properly articulated or moving, redness",1,1,1,0,0,0,KNA215,7/31/2012,2012
KNA17-RASY-080312,49,43,19,27,left hind limb ~5mm overall length,1,0,1,0,0,0,KNA17,8/3/2012,2012
KNA1031-RASY-072912,37,43,18,24,left hind limb <10mm (about the size of right femur portion),1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA1031-RASY-072912,47,42,18,29,left hind limb <10mm (about the size of right femur portion),1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA01-RASY-080112,47,45,18,2,left hind limb <10mm in total length; foot curves back against thigh,1,0,1,0,0,0,KNA01,8/1/2012,2012
KNA1031-RASY-072912,28,42,16,31,left hind limb <5mm (smaller than femur portion on right),1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA90-RASY-072312,59,43,17,26,left hind limb is smaller; all digits present but several are curled,1,0,1,0,0,0,KNA90,7/23/2012,2012
KNA1031-RASY-072912,48,43,15,26,left hind limb missing,1,0,1,0,0,0,KPB1031,7/29/2012,2012
KNA1042-RASY-080212,14,45,19,1,"left hind limb missing, no open wound",1,0,1,0,0,0,DNR1042,8/2/2012,2012
KNA1012-RASY-072512,36,42,18,36,"left hind limb missing, no open wound observed",1,0,1,0,0,0,KPB1012,7/25/2012,2012
KNA1057-RASY-081012,6,46,18,0,"Left hind limb missing, no open wound, small scar",1,0,1,0,0,0,KPB1057,8/10/2012,2012
KNA1062-RASY-081012,44,46,18,0,"Left hind limb missing, no open wound.",1,0,1,0,0,0,KNA1062,8/10/2012,2012
KNA14-RASY-073112,49,43,18,27,"left limb missing at shoulder, open wound",1,1,1,0,0,0,KNA14,7/31/2012,2012
KNA1024-RASY-080812,50,44,23,22,"Left thigh is half the size of the right, there appears to be a knee joint with another section corresponding to the calf but only 1mm in length with another small appendage attached that could be an undeveloped foot.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA1024-RASY-080812,48,43,23,33,"Left thigh is slightly smaller than the right, the calf is much smaller and underdeveloped, foot is not fully developed, only four digits are distinguishable.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA1006-RASY-071912,35,44,18,22,longest digit on right hind foot shortened-healed,1,0,1,0,0,0,KPB1006,7/19/2012,2012
KNA1012-RASY-072512,13,46,17,0,lower half of right eye is black,1,0,0,1,0,0,KPB1012,7/25/2012,2012
KNA1024-RASY-080812,44,45,20,10,"Missing right hand, appears healed.",1,0,1,0,0,0,KNA1024,8/8/2012,2012
KNA1040-RASY-072912,4,45,20,1,open wound with bone protruding- 4mm of right thigh present,1,1,1,0,0,0,KPB1040,7/29/2012,2012
KNA11119-RASY-081612,7,46,23,0,"Portion of left foot missing (~1mm present) just below ankle bone, no open wound.",1,0,1,0,0,0,KNA111-19,8/16/2012,2012
KNA99-RASY-080812,53,44,21,16,redness on digits 1-3 of left hind foot- curled,1,1,1,0,0,0,KNA99,8/8/2012,2012
KNA01-RASY-080112,51,42,18,39,redness towards tip of tail,1,1,0,0,0,0,KNA01,8/1/2012,2012
KNA08-RASY-080112,54,43,19,35,"right calf missing at knee joint, bone protruding below 2mm of part of calf present",1,0,1,0,0,0,KNA08,8/1/2012,2012
KNA1017-RASY-080812,50,42,20,36,"Right eye is missing, appears healed over.",1,0,0,1,0,0,KNA1017,8/8/2012,2012
KNA1042-RASY-080212,23,46,20,0,right foot missing 1mm below ankle joint,1,0,1,0,0,0,DNR1042,8/2/2012,2012
KNA08-RASY-080112,42,46,19,0,"right forelimb limp and not functioning, no wound visible",1,0,1,0,0,0,KNA08,8/1/2012,2012
KNA1051-RASY-080712,61,46,16,0,"Right forelimb missing at elbow, open wound.",1,1,1,0,0,0,KPB1051,8/7/2012,2012
